"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","User Management","6","Assign Partner Level","0","0","","0"
"0","Authentication","0","Forgot Password","24","0","","0"
"0","User Management","3","Update User Tier","2","0","","0"
"1","Authentication","0","Refresh Token","24","0","","0"
"0","Authentication","0","Logout","18","0","","0"
"0","User Management","4","User Search and Filter","2","0","","0"
"0","Authentication","3","TOTP 2FA Enforcement","3","0","","0"
"0","Authentication","0","Reset Password","28","0","","0"
"0","Authentication","8","TOTP 2FA Setup","4","0","","0"
"1","Authentication","0","Get Current User","23","0","","0"
"0","Authentication","0","Auth Flows","12","0","","0"
"0","User Management","4","Create User","4","0","","0"
"23","Feature Flags","7","Admin Feature Flag Management","14","0","","0"
"0","Authentication","4","TOTP 2FA Status","4","0","","0"
"1","Authentication","0","Register","57","0","","0"
"0","Authentication","6","TOTP 2FA Disable","1","0","","0"
"0","User Management","0","Self Profile Update","6","0","","0"
"1","Authentication","0","Login","31","0","","0"
"8","","5","Rate Limit Admin","6","0","","0"
"0","User Management","0","Change Password","15","0","","0"
"9","Feature Flags","0","Flag Evaluation","3","0","","0"
"0","User Management","0","Remove Partner Level","3","0","","0"
"0","Audit","1","Audit Log API","15","0","","0"
"0","User Management","0","User List API","3","0","","0"
"0","Authentication","0","Cookie Security","12","0","","0"
"0","Authentication","0","Google OAuth","22","0","","0"
"0","Authentication","6","TOTP 2FA Recovery Codes","2","0","","0"
"6","Feature Flags","2","Feature Flag Lifecycle","0","0","","0"
"0","Authentication","0","Password Reset Flow","8","0","","0"
"0","Notifications","1","Notification Security","1","0","","0"
"0","Authentication","9","TOTP 2FA Login Verification","0","0","","0"
"0","User Management","3","Delete User","1","0","","0"
"0","Notifications","4","Notification List","0","0","","0"
"0","User Management","3","Update User Status","1","0","","0"
"0","User Management","0","Update User Profile","6","0","","0"
"0","Notifications","2","Notification Preferences","0","0","","0"
"0","Notifications","1","Notification Broadcast","1","0","","0"
"0","Infrastructure","0","API Documentation","2","0","","0"
"0","Infrastructure","0","Health Check","2","0","","0"
"0","User Management","1","Get User By ID","3","0","","0"
