"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Authentication","5","Register","53","0","","0"
"0","Authentication","4","Login","28","0","","0"
"0","Feature Flags","0","Admin Feature Flag Management","44","0","","0"
"0","Authentication","8","Refresh Token","17","0","","0"
"1","Audit","1","Audit Log API","14","1","","0"
"0","User Management","1","Update User Profile","5","0","","0"
"0","Authentication","3","Logout","15","0","","0"
"1","Authentication","1","Forgot Password","22","0","","0"
"0","User Management","1","Change Password","14","0","","0"
"0","Authentication","4","Auth Flows","8","0","","0"
"0","Authentication","2","Google OAuth","20","0","","0"
"0","User Management","0","Remove Partner Level","3","0","","0"
"3","Authentication","3","Reset Password","22","0","","0"
"0","Authentication","4","Get Current User","20","0","","0"
"0","Feature Flags","0","Flag Evaluation","12","0","","0"
"0","User Management","3","Assign Partner Level","3","0","","0"
"0","Authentication","2","Cookie Security","10","0","","0"
"0","User Management","1","User Search and Filter","5","0","","0"
"0","User Management","1","User List API","2","0","","0"
"1","User Management","1","Self Profile Update","5","0","","0"
"0","User Management","0","Delete User","4","0","","0"
"1","Authentication","1","Password Reset Flow","6","0","","0"
"0","Infrastructure","0","API Documentation","2","0","","0"
"0","Feature Flags","1","Feature Flag Lifecycle","7","0","","0"
"0","User Management","0","Get User By ID","4","0","","0"
"0","User Management","2","Create User","6","0","","0"
"0","Infrastructure","0","Health Check","2","0","","0"
"0","User Management","1","Update User Status","3","0","","0"
"0","User Management","1","Update User Tier","4","0","","0"
