"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","190","Evaluate unauthenticated returns global defaults only","Regression Tests","Thu Mar 26 04:30:03 UTC 2026","passed","Thu Mar 26 04:30:03 UTC 2026","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagEvaluationTest","Regression","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagEvaluationTest","evaluateAllUnauthenticated_returnsGlobalDefaults"
"","1695","Refresh cookies have Path=/","Regression Tests","Thu Mar 26 04:29:29 UTC 2026","passed","Thu Mar 26 04:29:30 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthCookieContractTest","Regression","ua.kpi.sc.test.api.tests.auth.AuthCookieContractTest","refreshCookiesHavePathSlash"
"","2054","Assigned partner appears in user response","Regression Tests","Thu Mar 26 04:30:00 UTC 2026","passed","Thu Mar 26 04:30:03 UTC 2026","ua.kpi.sc.test.api.tests.user.UserAssignPartnerTest","Regression","ua.kpi.sc.test.api.tests.user.UserAssignPartnerTest","assignedPartnerAppearsInUserResponse"
"","1154","Register sets HttpOnly cookies","Regression Tests","Thu Mar 26 04:29:56 UTC 2026","passed","Thu Mar 26 04:29:58 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthRegisterTest","Regression","ua.kpi.sc.test.api.tests.auth.AuthRegisterTest","registerSetsHttpOnlyCookies"
"","1068","Register new user has capabilityTier exactly 1","Regression Tests","Thu Mar 26 04:29:45 UTC 2026","passed","Thu Mar 26 04:29:46 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthRegisterTest","Regression","ua.kpi.sc.test.api.tests.auth.AuthRegisterTest","registerNewUserCapabilityTierIs1"
"","1339","Register with Arabic name succeeds","Regression Tests","Thu Mar 26 04:30:00 UTC 2026","passed","Thu Mar 26 04:30:02 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthRegisterTest","Regression","ua.kpi.sc.test.api.tests.auth.AuthRegisterTest","registerWithArabicNameSucceeds"
"","731","Feature flag admin endpoints return 403 without 2FA enabled","Regression Tests","Thu Mar 26 04:29:37 UTC 2026","passed","Thu Mar 26 04:29:38 UTC 2026","ua.kpi.sc.test.api.tests.auth.mfa.TotpEnforcementTest","Regression","ua.kpi.sc.test.api.tests.auth.mfa.TotpEnforcementTest","featureFlagAdminBlockedWithout2fa"
"","2012","Login cookies have SameSite=Lax attribute","Regression Tests","Thu Mar 26 04:29:21 UTC 2026","passed","Thu Mar 26 04:29:23 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthCookieContractTest","Regression","ua.kpi.sc.test.api.tests.auth.AuthCookieContractTest","loginCookiesHaveSameSiteLax"
"","1003","Register returns the same names in response","Regression Tests","Thu Mar 26 04:29:55 UTC 2026","passed","Thu Mar 26 04:29:56 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthRegisterTest","Regression","ua.kpi.sc.test.api.tests.auth.AuthRegisterTest","registerReturnsSameNamesInResponse"
"","227","Update self preserves other fields","Regression Tests","Thu Mar 26 04:29:53 UTC 2026","passed","Thu Mar 26 04:29:54 UTC 2026","ua.kpi.sc.test.api.tests.user.UserSelfUpdateTest","Regression","ua.kpi.sc.test.api.tests.user.UserSelfUpdateTest","updateSelfPreservesOtherFields"
