"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Authentication","0","Forgot Password","24","0","","0"
"0","","0","Rate Limit Admin","19","0","","0"
"1","Feature Flags","0","Flag Evaluation","0","12","","0"
"1","Authentication","0","Login","31","0","","0"
"0","Authentication","5","Get Current User","19","0","","0"
"0","Authentication","0","Auth Flows","12","0","","0"
"1","Feature Flags","0","Admin Feature Flag Management","0","44","","0"
"0","Authentication","0","Reset Password","28","0","","0"
"0","Authentication","19","Register","39","0","","0"
"0","Authentication","0","TOTP 2FA Status","8","0","","0"
"1","User Management","0","Assign Partner Level","1","5","","0"
"1","User Management","0","Delete User","1","3","","0"
"0","Authentication","2","TOTP 2FA Login Verification","7","0","","0"
"0","Authentication","0","Password Reset Flow","8","0","","0"
"0","User Management","14","Change Password","1","0","","0"
"1","User Management","0","Get User By ID","0","4","","0"
"0","Authentication","0","Logout","18","0","","0"
"0","Authentication","0","Refresh Token","25","0","","0"
"1","User Management","0","Remove Partner Level","1","2","","0"
"0","Authentication","1","TOTP 2FA Disable","6","0","","0"
"0","Notifications","2","Notification Preferences","0","0","","0"
"0","User Management","0","Create User","8","0","","0"
"0","Audit","0","Audit Log API","16","0","","0"
"1","User Management","0","User List API","1","2","","0"
"1","Feature Flags","0","Feature Flag Lifecycle","0","8","","0"
"0","Authentication","0","Cookie Security","12","0","","0"
"0","Authentication","0","TOTP 2FA Recovery Codes","8","0","","0"
"0","Authentication","0","Google OAuth","22","0","","0"
"1","User Management","0","Update User Tier","3","2","","0"
"1","User Management","0","Update User Profile","2","4","","0"
"0","Authentication","1","TOTP 2FA Enforcement","5","0","","0"
"1","User Management","0","User Search and Filter","2","4","","0"
"0","Notifications","3","Notification List","1","0","","0"
"0","Authentication","3","TOTP 2FA Setup","9","0","","0"
"0","Infrastructure","0","API Documentation","2","0","","0"
"0","User Management","0","Update User Status","4","0","","0"
"0","User Management","0","Self Profile Update","6","0","","0"
"0","Infrastructure","0","Health Check","2","0","","0"
"1","Notifications","1","Notification Broadcast","0","1","","0"
"0","Notifications","2","Notification Security","0","0","","0"
