"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Authentication","0","Login","32","0","","0"
"0","Authentication","0","Get Current User","24","0","","0"
"0","Authentication","0","Auth Flows","12","0","","0"
"0","Authentication","0","Register","58","0","","0"
"0","Authentication","0","Logout","18","0","","0"
"0","Authentication","0","Refresh Token","25","0","","0"
"0","Infrastructure","0","API Documentation","2","0","","0"
"0","User Management","6","Update User Profile","0","0","","0"
"0","Authentication","0","Cookie Security","12","0","","0"
"0","User Management","7","Create User","1","0","","0"
"0","User Management","0","Change Password","6","0","","0"
"0","User Management","5","Self Profile Update","1","0","","0"
"0","User Management","4","Update User Status","0","0","","0"
"0","User Management","6","User Search and Filter","0","0","","0"
"0","User Management","6","Assign Partner Level","0","0","","0"
"0","User Management","5","Update User Tier","0","0","","0"
"0","User Management","3","Remove Partner Level","0","0","","0"
"0","User Management","3","Get User By ID","1","0","","0"
"0","Infrastructure","0","Health Check","2","0","","0"
"0","User Management","3","Delete User","1","0","","0"
"0","User Management","3","User List API","0","0","","0"
"0","Framework","0","Configuration","4","0","","0"
"0","Framework","0","Allure Integration","1","0","","0"
