"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Engagements","0","Club API","0","0","","6"
"0","Audit","0","Audit Log API","0","0","","3"
"0","Framework","0","Configuration","4","0","","0"
"0","User Management","0","User API","0","0","","5"
"0","Engagements","0","Project API","0","0","","5"
"0","Authentication","0","Auth Flows","1","0","","0"
"0","Documents","0","Document API","0","0","","4"
"0","Authentication","0","Register","1","0","","0"
"0","Council","0","Department API","0","0","","4"
"0","Infrastructure","0","API Documentation","2","0","","0"
"0","Authentication","0","Login","1","0","","0"
"0","Framework","0","Allure Integration","1","0","","0"
"0","Notifications","0","Telegram Webhook API","0","0","","2"
"0","Notifications","0","Notification Settings API","0","0","","2"
"0","Infrastructure","0","Health Check","2","0","","0"
